I (464245) mpu6050 stream: AX:-0.070 AY:0.069 AZ:-0.960 | GX:-0.229 GY:0.794 GZ:1.588 | T:25.14 C
I (464255) mpu6050 stream: AX:-0.074 AY:0.071 AZ:-0.953 | GX:0.015 GY:0.916 GZ:1.542 | T:25.14 C
I (464265) mpu6050 stream: AX:-0.073 AY:0.076 AZ:-0.959 | GX:0.336 GY:0.992 GZ:1.588 | T:25.05 C
I (464275) mpu6050 stream: AX:-0.066 AY:0.072 AZ:-0.962 | GX:0.366 GY:0.763 GZ:1.405 | T:25.05 C
I (464285) mpu6050 stream: AX:-0.068 AY:0.070 AZ:-0.953 | GX:0.183 GY:1.099 GZ:1.389 | T:25.14 C
I (464295) mpu6050 stream: AX:-0.069 AY:0.070 AZ:-0.960 | GX:-0.214 GY:1.023 GZ:1.359 | T:25.14 C
I (464305) mpu6050 stream: AX:-0.066 AY:0.067 AZ:-0.952 | GX:-0.275 GY:0.534 GZ:1.176 | T:25.05 C
I (464315) mpu6050 stream: AX:-0.071 AY:0.077 AZ:-0.956 | GX:-0.489 GY:0.611 GZ:1.252 | T:25.05 C
I (464325) mpu6050 stream: AX:-0.062 AY:0.074 AZ:-0.947 | GX:-0.718 GY:0.290 GZ:1.237 | T:25.14 C
I (464335) mpu6050 stream: AX:-0.060 AY:0.079 AZ:-0.960 | GX:-0.580 GY:0.321 GZ:1.038 | T:25.14 C
I (464345) mpu6050 stream: AX:-0.068 AY:0.074 AZ:-0.961 | GX:-0.580 GY:0.382 GZ:1.145 | T:25.05 C
I (464355) mpu6050 stream: AX:-0.060 AY:0.075 AZ:-0.958 | GX:-0.382 GY:0.427 GZ:1.084 | T:25.14 C
I (464365) mpu6050 stream: AX:-0.071 AY:0.072 AZ:-0.960 | GX:-0.550 GY:0.122 GZ:0.916 | T:25.05 C
I (464375) mpu6050 stream: AX:-0.070 AY:0.075 AZ:-0.961 | GX:-0.382 GY:0.412 GZ:0.931 | T:25.14 C
I (464385) mpu6050 stream: AX:-0.070 AY:0.078 AZ:-0.962 | GX:-0.321 GY:0.565 GZ:0.901 | T:25.14 C
I (464395) mpu6050 stream: AX:-0.063 AY:0.074 AZ:-0.953 | GX:-0.290 GY:0.321 GZ:0.855 | T:25.14 C
I (464405) mpu6050 stream: AX:-0.072 AY:0.075 AZ:-0.965 | GX:-0.305 GY:0.305 GZ:1.130 | T:25.05 C
I (464415) mpu6050 stream: AX:-0.065 AY:0.082 AZ:-0.954 | GX:-0.214 GY:0.580 GZ:0.870 | T:25.05 C
I (464425) mpu6050 stream: AX:-0.068 AY:0.079 AZ:-0.961 | GX:-0.305 GY:0.336 GZ:0.931 | T:25.05 C
I (464435) mpu6050 stream: AX:-0.067 AY:0.077 AZ:-0.951 | GX:-0.412 GY:0.427 GZ:1.282 | T:25.14 C
I (464445) mpu6050 stream: AX:-0.065 AY:0.074 AZ:-0.967 | GX:-0.168 GY:0.550 GZ:1.069 | T:25.14 C
I (464455) mpu6050 stream: AX:-0.070 AY:0.077 AZ:-0.957 | GX:-0.122 GY:0.275 GZ:1.206 | T:25.14 C
I (464465) mpu6050 stream: AX:-0.069 AY:0.066 AZ:-0.948 | GX:-0.168 GY:0.748 GZ:1.099 | T:25.14 C
I (464475) mpu6050 stream: AX:-0.062 AY:0.066 AZ:-0.951 | GX:-0.382 GY:0.947 GZ:1.267 | T:25.14 C
I (464485) mpu6050 stream: AX:-0.064 AY:0.068 AZ:-0.959 | GX:-1.145 GY:0.992 GZ:1.206 | T:25.14 C
I (464495) mpu6050 stream: AX:-0.063 AY:0.076 AZ:-0.972 | GX:-1.740 GY:0.718 GZ:1.313 | T:25.14 C
I (464505) mpu6050 stream: AX:-0.067 AY:0.080 AZ:-0.958 | GX:-1.511 GY:0.641 GZ:1.008 | T:25.14 C
I (464515) mpu6050 stream: AX:-0.070 AY:0.082 AZ:-0.953 | GX:-0.733 GY:0.183 GZ:1.130 | T:25.14 C
I (464525) mpu6050 stream: AX:-0.070 AY:0.083 AZ:-0.965 | GX:0.473 GY:0.305 GZ:1.176 | T:25.14 C
I (464535) mpu6050 stream: AX:-0.070 AY:0.079 AZ:-0.958 | GX:1.359 GY:0.702 GZ:1.466 | T:25.14 C
I (464545) mpu6050 stream: AX:-0.065 AY:0.067 AZ:-0.961 | GX:1.466 GY:0.656 GZ:1.466 | T:25.14 C
I (464555) mpu6050 stream: AX:-0.072 AY:0.065 AZ:-0.957 | GX:0.763 GY:0.595 GZ:1.298 | T:25.14 C
I (464565) mpu6050 stream: AX:-0.059 AY:0.069 AZ:-0.950 | GX:-0.214 GY:0.046 GZ:1.252 | T:25.14 C
I (464575) mpu6050 stream: AX:-0.061 AY:0.069 AZ:-0.951 | GX:-1.344 GY:-0.107 GZ:1.405 | T:25.14 C
I (464585) mpu6050 stream: AX:-0.065 AY:0.082 AZ:-0.952 | GX:-1.725 GY:-0.702 GZ:1.542 | T:25.14 C
I (464595) mpu6050 stream: AX:-0.069 AY:0.077 AZ:-0.948 | GX:-1.435 GY:-0.840 GZ:1.313 | T:25.14 C
I (464605) mpu6050 stream: AX:-0.067 AY:0.077 AZ:-0.942 | GX:-0.794 GY:-0.977 GZ:1.466 | T:25.14 C
I (464615) mpu6050 stream: AX:-0.067 AY:0.073 AZ:-0.963 | GX:-0.046 GY:-0.870 GZ:1.206 | T:2:1.206 | T:25.05 C
I (464855) mpu6050 stream: AX:-0.074 AY:0.076 AZ:-0.964 | GX:0.687 GY:1.374 GZ:1.191 | T:25.14 C
I (464865) mpu6050 stream: AX:-0.065 AY:0.074 AZ:-0.955 | GX:0.534 GY:1.740 GZ:1.084 | T:25.14 C
I (464875) mpu6050 stream: AX:-0.063 AY:0.075 AZ:-0.961 | GX:0.137 GY:1.603 GZ:1.252 | T:25.14 C
