I (201905) mpu6050 stream: AX:-0.177 AY:0.094 AZ:-0.951 | GX:-0.595 GY:-0.260 GZ:1.023 | T:25.24 C
I (201915) mpu6050 stream: AX:-0.170 AY:0.103 AZ:-0.966 | GX:-0.427 GY:0.275 GZ:0.840 | T:25.24 C
I (201925) mpu6050 stream: AX:-0.175 AY:0.091 AZ:-0.954 | GX:-0.107 GY:0.672 GZ:0.947 | T:25.24 C
I (201935) mpu6050 stream: AX:-0.175 AY:0.097 AZ:-0.945 | GX:0.214 GY:1.313 GZ:0.885 | T:25.14 C
I (201945) mpu6050 stream: AX:-0.171 AY:0.093 AZ:-0.944 | GX:0.366 GY:1.466 GZ:1.099 | T:25.24 C
I (201955) mpu6050 stream: AX:-0.166 AY:0.098 AZ:-0.943 | GX:0.275 GY:1.420 GZ:1.038 | T:25.24 C
I (201965) mpu6050 stream: AX:-0.162 AY:0.093 AZ:-0.932 | GX:-0.031 GY:1.344 GZ:0.962 | T:25.24 C
I (201975) mpu6050 stream: AX:-0.163 AY:0.090 AZ:-0.947 | GX:0.046 GY:1.237 GZ:1.099 | T:25.24 C
I (201985) mpu6050 stream: AX:-0.156 AY:0.092 AZ:-0.936 | GX:-0.015 GY:0.702 GZ:1.023 | T:25.28 C
I (201995) mpu6050 stream: AX:-0.168 AY:0.092 AZ:-0.935 | GX:0.275 GY:0.29165 AY:0.085 AZ:-0.945 | GX:-1.008 GY:-0.947 GZ:1.206 | T:25.19 C
I (202245) mpu6050 stream: AX:-0.182 AY:0.091 AZ:-0.956 | GX:-1.267 GY:-0.305 GZ:1.191 | T:25.28 C
I (202255) mpu6050 stream: AX:-0.166 AY:0.085 AZ:-0.951 | GX:-1.099 GY:0.031 GZ:0.779 | T:25.24 C
I (202265) mpu6050 stream: AX:-0.173 AY:0.097 AZ:-0.948 | GX:-0.595 GY:0.443 GZ:0.641 | T:25.33 C
I (202275) mpu6050 stream: AX:-0.177 AY:0.094 AZ:-0.948 | GX:-0.443 GY:0.992 GZ:0.580 | T:25.24 C
I (202285) mpu6050 stream: AX:-0.173 AY:0.094 AZ:-0.944 | GX:-0.015 GY:0.962 GZ:0.336 | T:25.24 C
I (202295) mpu6050 stream: AX:-0.168 AY:0.096 AZ:-0.932 | GX:0.061 GY:0.779 GZ:0.092 | T:25.24 C
I (202305) mpu6050 stream: AX:-0.163 AY:0.103 AZ:-0.941 | GX:0.305 GY:0.534 GZ:0.290 | T:25.24 C
I (202315) mpu6050 stream: AX:-0.166 AY:0.098 AZ:-0.949 | GX:0.214 GY:0.351 GZ:0.214 | T:25.14 C
I (202325) mpu6050 stream: AX:-0.171 AY:0.095 AZ:-0.937 | GX:-0.198 GY:0.473 GZ:0.580 | T:25.24 C
I (202335) mpu6050 stream: AX:-0.160 AY:0.100 AZ:-0.937 | GX:-0.763 GY:0.305 GZ:0.840 | T:25.24 C
I (202345) mpu6050 stream: AX:-0.166 AY:0.099 AZ:-0.943 | GX:-0.992 GY:0.290 GZ:1.038 | T:25.24 C
I (202355) mpu6050 stream: AX:-0.164 AY:0.100 AZ:-0.935 | GX:-0.733 GY:0.351 GZ:1.023 | T:25.24 C
I (202365) mpu6050 stream: AX:-0.172 AY:0.106 AZ:-0.938 | GX:-0.107 GY:0.168 GZ:1.389 | T:25.24 C
I (202375) mpu6050 stream: AX:-0.171 AY:0.103 AZ:-0.949 | GX:0.382 GY:0.183 GZ:1.740 | T:25.24 C
I (202385) mpu6050 stream: AX:-0.168 AY:0.094 AZ:-0.944 | GX:0.824 GY:0.702 GZ:1.832 | T:25.24 C
