I (189505) mpu6050 stream: AX:-0.089 AY:0.087 AZ:-0.958 | GX:0.107 GY:-0.656 GZ:1.160 | T:25.28 C
I (189515) mpu6050 stream: AX:-0.084 AY:0.085 AZ:-0.972 | GX:0.916 GY:-0.443 GZ:1.176 | T:25.28 C
I (189525) mpu6050 stream: AX:-0.084 AY:0.081 AZ:-0.966 | GX:1.344 GY:-0.137 GZ:1.267 | T:25.19 C
I (189535) mpu6050 stream: AX:-0.087 AY:0.081 AZ:-0.954 | GX:1.542 GY:0.031 GZ:1.603 | T:25.19 C
I (189545) mpu6050 stream: AX:-0.084 AY:0.069 AZ:-0.954 | GX:1.145 GY:-0.168 GZ:1.511 | T:25.19 C
I (189555) mpu6050 stream: AX:-0.080 AY:0.078 AZ:-0.949 | GX:0.427 GY:-0.504 GZ:1.679 | T:25.19 C
I (189565) mpu6050 stream: AX:-0.069 AY:0.074 AZ:-0.945 | GX:0.015 GY:-1.298 GZ:1.221 | T:25.28 C
I (189575) mpu6050 stream: AX:-0.077 AY:0.074 AZ:-0.954 | GX:-0.260 GY:-1.527 GZ:1.267 | T:25.19 C
I (189585) mpu6050 stream: AX:-0.084 AY:0.080 AZ:-0.964 | GX:-0.122 GY:-1.450 GZ:1.374 | T:25.19 C
I (189595) mpu6050 stream: AX:-0.092 AY:0.082 AZ:-0.973 | GX:0.031 GY:-1.008 GZ:1.420 | T:25.19 C
I (189605) mpu6050 stream: AX:-0.089 AY:0.082 AZ:-0.972 | GX:0.794 GY:-0.366 GZ:1.634 | T:25.19 C
I (189615) mpu6050 stream: AX:-0.095 AY:0.080 AZ:-0.975 | GX:0.931 GY:0.366 GZ:1.649 | T:25.19 C
I (189625) mpu6050 stream: AX:-0.089 AY:0.072 AZ:-0.971 | GX:1.191 GY:0.885 GZ:1.542 | T:25.19 C
I (189635) mpu6050 stream: AX:-0.079 AY:0.068 AZ:-0.948 | GX:0.962 GY:0.840 GZ:1.634 | T:25.28 C
I (189645) mpu6050 stream: AX:-0.078 AY:0.073 AZ:-0.946 | GX:0.489 GY:0.687 GZ:1.649 | T:25.19 C
I (189655) mpu6050 stream: AX:-0.078 AY:0.069 AZ:-0.950 | GX:-0.153 GY:0.260 GZ:1.466 | T:25.19 C
I (189665) mpu6050 stream: AX:-0.076 AY:0.069 AZ:-0.951 | GX:-0.427 GY:-0.168 GZ:1.450 | T:25.19 C
I (189675) mpu6050 stream: AX:-0.081 AY:0.068 AZ:-0.935 | GX:-0.840 GY:-0.427 GZ:1.206 | T:25.19 C
I (189685) mpu6050 stream: AX:-0.076 AY:0.069 AZ:-0.950 | GX:-1.023 GY:-0.412 GZ:1.053 | T:25.19 C
I (189695) mpu6050 stream: AX:-0.074 AY:0.079 AZ:-0.941 | GX:-0.901 GY:-0.672 GZ:0.931 | T:25.19 C
I (189705) mpu6050 stream: AX:-0.075 AY:0.082 AZ:-0.950 | GX:-0.794 GY:-0.733 GZ:0.840 | T:25.19 C
I (189715) mpu6050 stream: AX:-0.089 AY:0.082 AZ:-0.957 | GX:-0.748 GY:-0.504 GZ:0.763 | T:25.09 C
I (189725) mpu6050 stream: AX:-0.084 AY:0.085 AZ:-0.959 | GX:-0.641 GY:-0.168 GZ:0.870 | T:25.28 C
I (189735) mpu6050 stream: AX:-0.076 AY:0.078 AZ:-0.962 | GX:-0.504 GY:-0.305 GZ:0.779 | T:25.19 C
I (189745) mpu6050 stream: AX:-0.078 AY:0.076 AZ:-0.950 | GX:-0.137 GY:-0.260 GZ:0.855 | T:25.19 C
I (189755) mpu6050 stream: AX:-0.082 AY:0.082 AZ:-0.958 | GX:-0.092 GY:-0.611 GZ:0.718 | T:25.19 C
I (189765) mpu6050 stream: AX:-0.082 AY:0.085 AZ:-0.954 | GX:-0.473 GY:-0.489 GZ:0.611 | T:25.28 C
I (189775) mpu6050 stream: AX:-0.080 AY:0.080 AZ:-0.949 | GX:-0.718 GY:-0.626 GZ:0.611 | T:25.19 C
I (189785) mpu6050 stream: AX:-0.082 AY:0.080 AZ:-0.955 | GX:-0.702 GY:-0.748 GZ:0.977 | T:25.19 C
I (189795) mpu6050 stream: AX:-0.080 AY:0.082 AZ:-0.961 | GX:-0.672 GY:-0.870 GZ:0.794 | T:25.14 C
I (189805) mpu6050 stream: AX:-0.082 AY:0.081 AZ:-0.967 | GX:-0.260 GY:-0.947 GZ:0.840 | T:25.24 C
I (189815) mpu6050 stream: AX:-0.083 AY:0.086 AZ:-0.956 | GX:-0.092 GY:-1.145 GZ:0.763 | T:25.14 C
I (189825) mpu6050 stream: AX:-0.087 AY:0.084 AZ:-0.956 | GX:-0.153 GY:-0.748 GZ:0.626 | T:25.24 C
I (189835) mpu6050 stream: AX:-0.090 AY:0.083 AZ:-0.965 | GX:-0.290 GY:-0.412 GZ:0.672 | T:25.14 C
I (189845) mpu6050 stream: AX:-0.090 AY:0.080 AZ:-0.956 | GX:-0.031 GY:-0.290 GZ:0.779 | T:25.14 C
I (189855) mpu6050 stream: AX:-0.083 AY:0.082 AZ:-0.953 | GX:0.427 GY:-0.656 GZ:0.885 | T:25.14 C
I (189865) mpu6050 stream: AX:-0.083 AY:0.083 AZ:-0.959 | GX:0.458 GY:-0.840 GZ:0.931 | T:25.14 C
I (189875) mpu6050 stream: AX:-0.083 AY:0.084 AZ:-0.953 | GX:0.397 GY:-0.733 GZ:1.130 | T:25.24 C
I (189885) mpu6050 stream: AX:-0.086 AY:0.078 AZ:-0.956 | GX:0.305 GY:-0.244 GZ:1.359 | T:25.14 C
I (189895) mpu6050 stream: AX:-0.082 AY:0.080 AZ:-0.959 | GX:0.489 GY:-0.336 GZ:1.099 | T:25.14 C
I (189905) mpu6050 stream: AX:-0.085 AY:0.074 AZ:-0.955 | GX:0.779 GY:-0.550 GZ:0.962 | T:25.14 C
I (189915) mpu6050 stream: AX:-0.083 AY:0.078 AZ:-0.955 | GX:0.672 GY:-0.382 GZ:1.023 | T:25.24 C
I (189925) mpu6050 stream: AX:-0.082 AY:0.078 AZ:-0.948 | GX:0.504 GY:-0.229 GZ:1.328 | T:25.24 C
I (189935) mpu6050 stream: AX:-0.083 AY:0.076 AZ:-0.955 | GX:0.351 GY:-0.260 GZ:1.282 | T:25.14 C
I (189945) mpu6050 stream: AX:-0.084 AY:0.080 AZ:-0.959 | GX:-0.153 GY:-0.489 GZ:1.344 | T:25.14 C
I (189955) mpu6050 stream: AX:-0.078 AY:0.077 AZ:-0.948 | GX:-0.321 GY:-0.748 GZ:1.176 | T:25.24 C
I (189965) mpu6050 strepu6050 stream: AX:-0.099 AY:0.070 AZ:-0.967 | GX:-1.038 GY:-0.763 GZ:0.595 | T:25.24 C
I (190215) mpu6050 stream: AX:-0.093 AY:0.078 AZ:-0.967 | GX:-1.130 GY:-0.366 GZ:0.473 | T:25.24 C
I (190225) mpu6050 stream: AX:-0.090 AY:0.083 AZ:-0.958 | GX:-0.641 GY:0.092 GZ:0.153 | T:25.14 C
I (190235) mpu6050 stream: AX:-0.092 AY:0.080 AZ:-0.962 | GX:-0.198 GY:0.153 GZ:0.076 | T:25.14 C
