I (658805) mpu6050 stream: AX:0.021 AY:0.119 AZ:-0.962 | GX:0.397 GY:0.824 GZ:1.069 | T:25.00 C
I (658815) mpu6050 stream: AX:0.021 AY:0.125 AZ:-0.960 | GX:0.229 GY:0.565 GZ:0.870 | T:24.91 C
I (658825) mpu6050 stream: AX:0.021 AY:0.122 AZ:-0.953 | GX:0.321 GY:0.519 GZ:0.992 | T:25.00 C
I (658835) mpu6050 stream: AX:0.017 AY:0.123 AZ:-0.951 | GX:0.031 GY:0.504 GZ:1.008 | T:25.00 C
I (658845) mpu6050 stream: AX:0.017 AY:0.128 AZ:-0.951 | GX:0.076 GY:0.550 GZ:0.870 | T:25.00 C
I (658855) mpu6050 stream: AX:0.024 AY:0.126 AZ:-0.946 | GX:0.214 GY:0.260 GZ:1.023 | T:24.91 C
I (658865) mpu6050 stream: AX:0.019 AY:0.128 AZ:-0.956 | GX:-0.122 GY:0.122 GZ:1.176 | T:24.91 C
I (658875) mpu6050 stream: AX:0.014 AY:0.125 AZ:-0.967 | GX:-0.153 GY:0.153 GZ:1.344 | T:24.91 C
I (658885) mpu6050 stream: AX:0.016 AY:0.125 AZ:-0.956 | GX:-0.244 GY:0.702 GZ:1.313 | T:25.00 C
I (658895) mpu6050 stream: AX:0.015 AY:0.127 AZ:-0.969 | GX:-0.321 GY:0.321 GZ:1.496 | T:24.91 C
I (658905) mpu6050 stream: AX:0.010 AY:0.127 AZ:-0.959 | GX:-0.504 GY:0.321 GZ:1.740 | T:24.91 C
I (658915) mpu6050 stream: AX:0.016 AY:0.128 AZ:-0.962 | GX:0.336 GY:0.702 GZ:1.603 | T:25.00 C
I (658925) mpu6050 stream: AX:0.016 AY:0.129 AZ:-0.960 | GX:-0.015 GY:0.702 GZ:1.740 | T:24.91 C
I (658935) mpu6050 stream: AX:0.023 AY:0.128 AZ:-0.957 | GX:0.198 GY:0.855 GZ:1.863 | T:25.00 C
I (658945) mpu6050 stream: AX:0.014 AY:0.124 AZ:-0.957 | GX:-0.092 GY:0.504 GZ:1.527 | T:25.00 C
I (658955) mpu6050 stream: AX:0.015 AY:0.120 AZ:-0.961 | GX:-0.168 GY:0.504 GZ:1.557 | T:25.09 C
I (658965) mpu6050 stream: AX:0.016 AY:0.119 AZ:-0.956 | GX:0.061 GY:0.702 GZ:1.298 | T:24.91 C
I (658975) mpu6050 stream: AX:0.016 AY:0.123 AZ:-0.958 | GX:-0.137 GY:0.794 GZ:1.282 | T:24.95 C
I (658985) mpu6050 stream: AX:0.022 AY:0.119 AZ:-0.960 | GX:-0.229 GY:0.687 GZ:1.176 | T:24.95 C
I (658995) mpu6050 stream: AX:0.019 AY:0.122 AZ:-0.945 | GX:-0.122 GY:0.672 GZ:0.977 | T:24.95 C
I (659005) mpu6050 stream: AX:0.019 AY:0.125 AZ:-0.963 | GX:0.000 GY:0.427 GZ:0.947 | T:25.05 C
I (659015) mpu6050 stream: AX:0.020 AY:0.121 AZ:-0.962 | GX:-0.137 GY:0.504 GZ:0.947 | T:24.95 C
I (659025) mpu6050 stream: AX:0.019 AY:0.121 AZ:-0.961 | GX:-0.290 GY:0.687 GZ:0.733 | T:24.95 C
I (659035) mpu6050 stream: AX:0.019 AY:0.125 AZ:-0.963 | GX:0.198 GY:0.855 GZ:0.687 | T:25.05 C
I (659045) mpu6050 stream: AX:0.014 AY:0.126 AZ:-0.962 | GX:-0.534 GY:0.718 GZ:0.977 | T:24.95 C
I (659055) mpu6050 stream: AX:0.008 AY:0.130 AZ:-0.964 | GX:0.305 GY:0.794 GZ:0.901 | T:25.05 C
I (659065) mpu6050 stream: AX:0.011 AY:0.130 AZ:-0.959 | GX:0.031 GY:1.252 GZ:0.931 | T:25.05 C
I (659075) mpu6050 stream: AX:0.009 AY:0.128 AZ:-0.959 | GX:0.183 GY:1.649 GZ:1.038 | T:24.95 C
I (659085) mpu6050 stream: AX:0.007 AY:0.131 AZ:-0.964 | GX:0.046 GY:1.924 GZ:1I (659315) mpu6050 stream: AX:0.032 AY:0.125 AZ:-0.959 | GX:0.382 GY:2.687 GZ:1.649 | T:25.00 C
I (659325) mpu6050 stream: AX:0.034 AY:0.121 AZ:-0.943 | GX:1.145 GY:2.718 GZ:1.557 | T:25.00 C
I (659335) mpu6050 stream: AX:0.033 AY:0.118 AZ:-0.950 | GX:1.511 GY:2.840 GZ:1.832 | T:25.00 C
I (659345) mpu6050 stream: AX:0.029 AY:0.122 AZ:-0.957 | GX:1.557 GY:2.916 GZ:1.557 | T:24.91 C
I (659355) mpu6050 stream: AX:0.042 AY:0.115 AZ:-0.950 | GX:1.038 GY:2.550 GZ:1.344 | T:24.91 C
I (659365) mpu6050 stream: AX:0.035 AY:0.111 AZ:-0.954 | GX:0.550 GY:2.443 GZ:1.130 | T:24.91 C
I (659375) mpu6050 stream: AX:0.041 AY:0.111 AZ:-0.958 | GX:-0.260 GY:2.229 GZ:1.069 | T:25.00 C
I (659385) mpu6050 stream: AX:0.039 AY:0.116 AZ:-0.945 | GX:-0.382 GY:2.198 GZ:0.718 | T:24.91 C
I (659395) mpu6050 stream: AX:0.040 AY:0.119 AZ:-0.951 | GX:-0.137 GY:1.893 GZ:0.611 | T:24.91 C
I (659405) mpu6050 stream: AX:0.040 AY:0.126 AZ:-0.944 | GX:0.107 GY:2.183 GZ:0.489 | T:25.00 C
I (659415) mpu6050 stream: AX:0.047 AY:0.124 AZ:-0.947 | GX:0.840 GY:1.817 GZ:0.580 | T:24.91 C
I (659425) mpu6050 stream: AX:0.038 AY:0.123 AZ:-0.959 | GX:0.901 GY:1.511 GZ:0.611 | T:25.00 C
I (659435) mpu6050 stream: AX:0.039 AY:0.118 AZ:-0.969 | GX:0.672 GY:1.603 GZ:0.779 | T:25.00 C
I (659445) mpu6050 stream: AX:0.037 AY:0.111 AZ:-0.960 | GX:-0.183 GY:1.664 GZ:0.672 | T:25.00 C
I (659455) mpu6050 stream: AX:0.040 AY:0.116 AZ:-0.961 | GX:-0.733 GY:1.542 GZ:0.580 | T:25.00 C
I (659465) mpu6050 stream: AX:0.039 AY:0.121 AZ:-0.953 | GX:-1.053 GY:1.450 GZ:0.565 | T:25.00 C
I (659475) mpu6050 stream: AX:0.040 AY:0.124 AZ:-0.954 | GX:-0.595 GY:1.435 GZ:0.779 | T:25.00 C
