I (354045) mpu6050 stream: AX:-0.116 AY:0.097 AZ:-0.950 | GX:-0.748 GY:1.130 GZ:0.748 | T:25.19 C
I (354055) mpu6050 stream: AX:-0.113 AY:0.093 AZ:-0.948 | GX:0.397 GY:0.794 GZ:0.733 | T:25.09 C
I (354065) mpu6050 stream: AX:-0.111 AY:0.094 AZ:-0.949 | GX:1.634 GY:0.305 GZ:0.626 | T:25.19 C
I (354075) mpu6050 stream: AX:-0.120 AY:0.086 AZ:-0.943 | GX:2.061 GY:-0.229 GZ:0.779 | T:25.09 C
I (354085) mpu6050 stream: AX:-0.115 AY:0.093 AZ:-0.949 | GX:1.954 GY:-0.092 GZ:0.992 | T:25.19 C
I (354095) mpu6050 stream: AX:-0.115 AY:0.081 AZ:-0.945 | GX:1.115 GY:-0.321 GZ:0.992 | T:25.28 C
I (354105) mpu6050 stream: AX:-0.116 AY:0.081 AZ:-0.949 | GX:0.092 GY:-0.412 GZ:1.038 | T:25.19 C
I (354115) mpu6050 stream: AX:-0.116 AY:0.089 AZ:-0.950 | GX:-0.305 GY:-0.840 GZ:0.916 | T:25.28 C
I (354125) mpu6050 stream: AX:-0.122 AY:0.087 AZ:-0.949 | GX:-0.458 GY:-0.595 GZ:1.115 | T:25.19 C
I (354135) mpu6050 stream: AX:-0.128 AY:0.091 AZ:-0.938 | GX:0.076 GY:-0.809 GZ:1.496 | T:25.19 C
I (354145) mpu6050 stream: AX:-0.132 AY:0.087 AZ:-0.958 | GX:0.214 GY:-0.702 GZ:1.695 | T:25.19 C
I (354155) mpu6050 stream: AX:-0.125 AY:0.088 AZ:-0.951 | GX:0.427 GY:-0.672 GZ:1.771 | T:25.19 C
I (354165) mpu6050 stream: AX:-0.126 AY:0.088 AZ:-0.944 | GX:0.382 GY:-0.565 GZ:1.573 | T:25.19 C
I (354175) mpu6050 stream: AX:-0.128 AY:0.080 AZ:-0.952 | GX:0.137 GY:-0.122 GZ:1.588 | T:25.19 C
I (354185) mpu6050 stream: AX:-0.123 AY:0.081 AZ:-0.952 | GX:-0.168 GY:0.153 GZ:1.420 | T:25.19 C
I (354195) mpu6050 stream: AX:-0.122 AY:0.080 AZ:-0.944 | GX:-0.412 GY:0.122 GZ:1.115 | T:25.19 C
I (354205) mpu6050 stream: AX:-0.119 AY:0.079 AZ:-0.947 | GX:-0.458 GY:0.214 GZ:0.580 | T:25.19 C
I (354215) mpu6050 stream: AX:-0.114 AY:0.079 AZ:-0.954 | GX:-0.473 GY:0.031 GZ:0.290 | T:25.19 C
I (354225) mpu6050 stream: AX:-0.111 AY:0.082 AZ:-0.939 | GX:-0.412 GY:-0.214 GZ:-0.290 | T:25.19 C
I (354235) mpu6050 stream: AX:-0.124 AY:0.088 AZ:-0.950 | GX:-0.061 GY:-0.473 GZ:-0.351 | T:25.19 C
I (354245) mpu6050 stream: AX:-0.126 AY:0.091 AZ:-0.948 | GX:0.076 GY:-0.748 GZ:-0.458 | T:25.19 C
I (354255) mpu6050 stream: AX:-0.131 AY:0.086 AZ:-0.960 | GX:0.092 GY:-0.550 GZ:-0.244 | T:25.28 C
I (354265) mpu6050 stream: AX:-0.126 AY:0.083 AZ:-0.968 | GX:-0.214 GY:-0.046 GZ:-0.107 | T:25.09 C
I (354275) mpu6050 stream: AX:-0.131 AY:0.087 AZ:-0.964 | GX:-0.336 GY:-0.061 GZ:-0.168 | T:25.19 C
I (354285) mpu6050 stream: AX:-0.127 AY:0.083 AZ:-0.958 | GX:-0.443 GY:0.183 GZ:-0.107 | T:25.28 C
I (354295) mpu6050 stream: AX:-0.121 AY:0.085 AZ:-0.948 | GX:-0.351 GY:0.198 GZ:-0.366 | T:25.19 C
I (354305) mpu6050 stream: AX:-0.128 AY:0.102 AZ:-0.945 | GX:-0.275 GY:0.275 GZ:-0.046 | T:25.19 C
I (354315) mpu6050 stream: AX:-0.122 AY:0.096 AZ:-0.952 | GX:0.275 GY:0.443 GZ:0.626 | T:25.09 C
I (354325) mpu6050 stream: AX:-0.125 AY:0.091 AZ:-0.953 | GX:0.733 GY:0.397 GZ:0.687 | T:25.19 C
I (354335) mpu6050 stream: AX:-0.125 AY:0.089 AZ:-0.946 | GX:0.687 GY:0.687 GZ:1.038 | T:25.09 C
I (354345) mpu6050 stream: AX:-0.118 AY:0.080 AZ:-0.948 | GX:0.336 GY:0.275 GZ:0.885 | T:25.19 C
I (354355) mpu6050 stream: AX:-0.123 AY:0.082 AZ:-0.948 | GX:-0.534 GY:-0.061 GZ:0.733 | T:25.19 C
I (354365) mpu6050 stream: AX:-0.126 AY:0.084 AZ:-0.946 | GX:-0.855 GY:-0.092 GZ:0.809 | T:25.19 C
I (354375) mpu6050 stream: AX:-0.117 AY:0.094 AZ:-0.942 | GX:-1.008 GY:-0.107 GZ:0.733 | T:25.19 C
I (354385) mpu6050 stream: AX:-0.124 AY:0.085 AZ:-0.947 | GX:-0.489 GY:-0.214 GZ:0.885 | T:25.19 C
I (354395) mpu6050 stream: AX:-0.127 AY:0.090 AZ:-0.955 | GX:0.214 GY:0.000 GZ:0.870 | T:25.19 C
I (354405) mpu6050 stream: AX:-0.122 AY:0.088 AZ:- T:25.09 C
I (354645) mpu6050 stream: AX:-0.119 AY:0.090 AZ:-0.959 | GX:-0.565 GY:0.473 GZ:0.473 | T:25.28 C
I (354655) mpu6050 stream: AX:-0.127 AY:0.085 AZ:-0.952 | GX:-0.473 GY:0.565 GZ:0.504 | T:25.19 C
