I (664945) mpu6050 stream: AX:0.041 AY:0.094 AZ:-0.964 | GX:1.176 GY:0.565 GZ:2.321 | T:25.05 C
I (664955) mpu6050 stream: AX:0.046 AY:0.098 AZ:-0.965 | GX:1.206 GY:1.252 GZ:2.000 | T:24.95 C
I (664965) mpu6050 stream: AX:0.042 AY:0.095 AZ:-0.964 | GX:0.885 GY:1.282 GZ:1.863 | T:25.05 C
I (664975) mpu6050 stream: AX:0.047 AY:0.096 AZ:-0.957 | GX:0.992 GY:1.573 GZ:1.603 | T:25.05 C
I (664985) mpu6050 stream: AX:0.043 AY:0.093 AZ:-0.966 | GX:0.916 GY:1.344 GZ:1.496 | T:25.05 C
I (664995) mpu6050 stream: AX:0.041 AY:0.094 AZ:-0.967 | GX:0.779 GY:1.511 GZ:1.710 | T:25.05 C
I (665005) mpu6050 stream: AX:0.051 AY:0.090 AZ:-0.966 | GX:0.580 GY:1.267 GZ:1.573 | T:24.95 C
I (665015) mpu6050 stream: AX:0.045 AY:0.098 AZ:-0.968 | GX:0.534 GY:1.053 GZ:1.573 | T:24.95 C
I (665025) mpu6050 stream: AX:0.043 AY:0.094 AZ:-0.963 | GX:-0.046 GY:1.084 GZ:1.603 | T:24.95 C
I (665035) mpu6050 stream: AX:0.044 AY:0.093 AZ:-0.972 | GX:-0.061 GY:1.557 GZ:1.817 | T:24.95 C
I (665045) mpu6050 stream: AX:0.048 AY:0.101 AZ:-0.953 | GX:-0.122 GY:1.664 GZ:1.786 | T:24.95 C
I (665055) mpu6050 stream: AX:0.048 AY:0.101 AZ:-0.960 | GX:-0.122 GY:2.031 GZ:2.015 | T:24.95 C
I (665065) mpu6050 stream: AX:0.052 AY:0.096 AZ:-0.963 | GX:0.290 GY:2.122 GZ:1.985 | T:24.95 C
I (665075) mpu6050 stream: AX:0.046 AY:0.095 AZ:-0.948 | GX:0.443 GY:2.321 GZ:2.000 | T:25.05 C
I (665085) mpu6050 stream: AX:0.049 AY:0.091 AZ:-0.957 | GX:0.076 GY:2.321 GZ:2.305 | T:24.95 C
I (665095) mpu6050 stream: AX:0.056 AY:0.098 AZ:-0.958 | GX:0.137 GY:2.198 GZ:2.107 | T:24.95 C
I (665105) mpu6050 stream: AX:0.057 AY:0.092 AZ:-0.961 | GX:0.168 G.00 C
I (665365) mpu6050 stream: AX:0.054 AY:0.083 AZ:-0.957 | GX:1.344 GY:2.031 GZ:1.481 | T:25.09 C
I (665375) mpu6050 stream: AX:0.060 AY:0.086 AZ:-0.956 | GX:0.321 GY:1.237 GZ:1.298 | T:25.00 C
I (665385) mpu6050 stream: AX:0.061 AY:0.092 AZ:-0.952 | GX:-0.595 GY:1.130 GZ:1.527 | T:24.91 C
I (665395) mpu6050 stream: AX:0.060 AY:0.094 AZ:-0.948 | GX:-1.023 GY:0.534 GZ:1.588 | T:24.91 C
I (665405) mpu6050 stream: AX:0.064 AY:0.093 AZ:-0.951 | GX:-0.534 GY:0.260 GZ:1.649 | T:25.00 C
I (665415) mpu6050 stream: AX:0.053 AY:0.088 AZ:-0.940 | GX:-0.153 GY:0.443 GZ:1.695 | T:25.00 C
I (665425) mpu6050 stream: AX:0.054 AY:0.095 AZ:-0.952 | GX:0.107 GY:0.290 GZ:1.679 | T:25.00 C
I (665435) mpu6050 stream: AX:0.058 AY:0.089 AZ:-0.964 | GX:0.244 GY:-0.046 GZ:1.282 | T:25.00 C
I (665445) mpu6050 stream: AX:0.058 AY:0.086 AZ:-0.960 | GX:-0.214 GY:0.198 GZ:1.191 | T:25.00 C
I (665455) mpu6050 stream: AX:0.057 AY:0.084 AZ:-0.963 | GX:-0.595 GY:0.031 GZ:0.901 | T:25.00 C
I (665465) mpu6050 stream: AX:0.060 AY:0.085 AZ:-0.960 | GX:-0.977 GY:0.427 GZ:0.702 | T:24.91 C
I (665475) mpu6050 stream: AX:0.053 AY:0.088 AZ:-0.965 | GX:-0.840 GY:0.443 GZ:0.168 | T:24.91 C
I (665485) mpu6050 stream: AX:0.054 AY:0.097 AZ:-0.963 | GX:-0.611 GY:0.672 GZ:-0.076 | T:25.00 C
I (665495) mpu6050 stream: AX:0.059 AY:0.094 AZ:-0.956 | GX:-0.168 GY:0.748 GZ:-0.275 | T:24.91 C
I (665505) mpu6050 stream: AX:0.059 AY:0.097 AZ:-0.960 | GX:0.351 GY:0.290 GZ:0.137 | T:25.00 C
I (665515) mpu6050 stream: AX:0.058 AY:0.091 AZ:-0.967 | GX:0.015 GY:0.076 GZ:-0.015 | T:25.00 C
I (665525) mpu6050 stream: AX:0.060 AY:0.082 AZ:-0.971 | GX:-0.458 GY:0.275 GZ:-0.168 | T:25.00 C
