I (219955) mpu6050 stream: AX:-0.166 AY:0.085 AZ:-0.918 | GX:0.000 GY:2.351 GZ:1.405 | T:25.24 C
I (219965) mpu6050 stream: AX:-0.181 AY:0.086 AZ:-0.933 | GX:-1.740 GY:1.847 GZ:1.618 | T:25.33 C
I (219975) mpu6050 stream: AX:-0.185 AY:0.090 AZ:-0.951 | GX:-3.344 GY:2.458 GZ:1.450 | T:25.24 C
I (219985) mpu6050 stream: AX:-0.190 AY:0.099 AZ:-0.965 | GX:-4.015 GY:3.176 GZ:1.389 | T:25.24 C
I (219995) mpu6050 stream: AX:-0.183 AY:0.101 AZ:-0.950 | GX:-2.641 GY:4.611 GZ:1.252 | T:25.24 C
I (220005) mpu6050 stream: AX:-0.181 AY:0.106 AZ:-0.938 | GX:-0.183 GY:4.947 GZ:1.344 | T:25.24 C
I (220015) mpu6050 stream: AX:-0.167 AY:0.105 AZ:-0.940 | GX:1.725 GY:5.130 GZ:1.405 | T:25.19 C
I (220025) mpu6050 stream: AX:-0.169 AY:0.098 AZ:-0.920 | GX:2.443 GY:5.221 GZ:1.435 | T:25.28 C
I (220035) mpu6050 stream: AX:-0.167 AY:0.092 AZ:-0.917 | GX:1.634 GY:4.351 GZ:1.252 | T:25.19 C
I (220045) mpu6050 stream: AX:-0.174 AY:0.085 AZ:-0.929 | GX:0.244 GY:3.42I (220285) mpu6050 stream: AX:-0.157 AY:0.096 AZ:-0.935 | GX:-0.260 GY:-0.534 GZ:-0.183 | T:25.19 C
I (220295) mpu6050 stream: AX:-0.164 AY:0.094 AZ:-0.935 | GX:-1.130 GY:-0.656 GZ:-0.290 | T:25.19 C
I (220305) mpu6050 stream: AX:-0.163 AY:0.097 AZ:-0.934 | GX:-1.817 GY:-0.824 GZ:-0.260 | T:25.28 C
I (220315) mpu6050 stream: AX:-0.166 AY:0.098 AZ:-0.940 | GX:-2.321 GY:-0.779 GZ:-0.427 | T:25.24 C
I (220325) mpu6050 stream: AX:-0.173 AY:0.100 AZ:-0.934 | GX:-2.534 GY:-0.076 GZ:-0.351 | T:25.24 C
I (220335) mpu6050 stream: AX:-0.162 AY:0.106 AZ:-0.937 | GX:-1.924 GY:-0.107 GZ:-0.412 | T:25.14 C
I (220345) mpu6050 stream: AX:-0.163 AY:0.102 AZ:-0.940 | GX:-1.252 GY:-0.397 GZ:-0.427 | T:25.24 C
I (220355) mpu6050 stream: AX:-0.158 AY:0.104 AZ:-0.935 | GX:-0.580 GY:-0.916 GZ:-0.366 | T:25.14 C
I (220365) mpu6050 stream: AX:-0.167 AY:0.100 AZ:-0.933 | GX:-0.153 GY:-1.405 GZ:-0.473 | T:25.24 C
I (220375) mpu6050 stream: AX:-0.164 AY:0.104 AZ:-0.932 | GX:-0.183 GY:-1.847 GZ:-0.275 | T:25.24 C
I (220385) mpu6050 stream: AX:-0.173 AY:0.107 AZ:-0.940 | GX:-0.534 GY:-1.908 GZ:-0.153 | T:25.24 C
I (220395) mpu6050 stream: AX:-0.187 AY:0.115 AZ:-0.952 | GX:-0.840 GY:-1.924 GZ:-0.183 | T:25.24 C
I (220405) mpu6050 stream: AX:-0.185 AY:0.118 AZ:-0.959 | GX:-0.779 GY:-0.794 GZ:0.244 | T:25.24 C
I (220415) mpu6050 stream: AX:-0.183 AY:0.115 AZ:-0.959 | GX:-0.046 GY:0.504 GZ:0.458 | T:25.33 C
I (220425) mpu6050 stream: AX:-0.182 AY:0.122 AZ:-0.960 | GX:1.099 GY:1.267 GZ:1.023 | T:25.24 C
I (220435) mpu6050 stream: AX:-0.180 AY:0.118 AZ:-0.958 | GX:2.137 GY:1.542 GZ:1.435 | T:25.14 C
