I (611195) mpu6050 stream: AX:0.047 AY:0.082 AZ:-0.961 | GX:-0.137 GY:-1.557 GZ:-0.076 | T:25.00 C
I (611205) mpu6050 stream: AX:0.047 AY:0.079 AZ:-0.980 | GX:-0.427 GY:-1.069 GZ:0.122 | T:24.91 C
I (611215) mpu6050 stream: AX:0.043 AY:0.080 AZ:-0.968 | GX:-1.053 GY:-0.687 GZ:0.260 | T:25.00 C
I (611225) mpu6050 stream: AX:0.048 AY:0.079 AZ:-0.959 | GX:-1.267 GY:-0.519 GZ:0.321 | T:24.91 C
I (611235) mpu6050 stream: AX:0.047 AY:0.095 AZ:-0.960 | GX:-0.595 GY:-0.809 GZ:0.473 | T:24.95 C
I (611245) mpu6050 stream: AX:0.043 AY:0.087 AZ:-0.967 | GX:-0.168 GY:-1.099 GZ:0.916 | T:24.95 C
I (611255) mpu6050 stream: AX:0.036 AY:0.090 AZ:-0.960 | GX:0.626 GY:-1.099 GZ:1.359 | T:24.86 C
I (611265) mpu6050 stream: AX:0.043 AY:0.082 AZ:-0.957 | GX:0.779 GY:-0.702 GZ:1.740 | T:24.86 C
I (611275) mpu6050 stream: AX:0.039 AY:0.080 AZ:-0.970 | GX:0.550 GY:-0.244 GZ:1.817 | T:24.95 C
I (611285) mpu6050 stream: AX:0.041 AY:0.071 AZ:-0.962 | GX:-0.031 GY:-0.107 GZ:1.832 | T:24.86 C
I (611295) mpu6050 stream: AX:0.044 AY:0.075 AZ:-0.960 | GX:-0.748 GY:-0.351 GZ:1.634 | T:24.95 C
I (611305) mpu6050 stream: AX:0.042 AY:0.081 AZ:-0.956 | GX:-1.038 GY:-0.198 GZ:1.893 | T:24.95 C
I (611315) mpu6050 stream: AX:0.047 AY:0.083 AZ:-0.957 | GX:-0.809 GY:-0.153 GZ:1.710 | T:24.95 C
I (611325) mpu6050 stream: AX:0.039 AY:0.078 AZ:-0.955 | GX:-0.275 GY:-0.229 GZ:1.878 | T:24.95 C
I (611335) mpu6050 stream: AX:0.040 AY:0.078 AZ:-0.960 | GX:0.305 GY:-0.137 GZ:1.634 | T:24.86 C
