I (312165) mpu6050 stream: AX:-0.148 AY:0.108 AZ:-0.954 | GX:-0.275 GY:0.534 GZ:-0.061 | T:25.19 C
I (312175) mpu6050 stream: AX:-0.141 AY:0.115 AZ:-0.945 | GX:-0.336 GY:0.443 GZ:0.031 | T:25.28 C
I (312185) mpu6050 stream: AX:-0.141 AY:0.108 AZ:-0.948 | GX:-0.550 GY:0.351 GZ:-0.046 | T:25.38 C
I (312195) mpu6050 stream: AX:-0.144 AY:0.110 AZ:-0.948 | GX:-0.198 GY:0.321 GZ:-0.015 | T:25.28 C
I (312205) mpu6050 stream: AX:-0.140 AY:0.116 AZ:-0.945 | GX:-0.321 GY:0.198 GZ:0.168 | T:25.28 C
I (312215) mpu6050 stream: AX:-0.148 AY:0.110 AZ:-0.950 | GX:-0.061 GY:0.305 GZ:0.305 | T:25.28 C
I (312225) mpu6050 stream: AX:-0.148 AY:0.109 AZ:-0.943 | GX:0.260 GY:0.229 GZ:0.504 | T:25.19 C
I (312235) mpu6050 stream: AX:-0.146 AY:0.114 AZ:-0.950 | GX:0.168 GY:0.290 GZ:0.366 | T:25.24 C
I (312245) mpu6050 stream: AX:-0.137 AY:0.115 AZ:-0.930 | GX:0.336 GY:0.183 GZ:0.565 | T:25.33 C
I (312255) mpu6050 stream: AX:-0.143 AY:0.116 AZ:-0.940 | GX:0.214 GY:0.061 GZ:0.840 | T:25.24 C
I (312265) mpu6050 stream: AX:-0.149 AY:0.107 AZ:-0.948 | GX:0.046 GY:0.107 GZ:0.687 | T:25.24 C
I (312275) mpu6050 stream: AX:-0.138 AY:0.103 AZ:-0.950 | GX:0.137 GY:0.031 GZ:1.084 | T:25.33 C
I (312285) mpu6050 stream: AX:-0.145 AY:0.111 AZ:-0.948 | GX:-0.260 GY:-0.122 GZ:0.916 | T:25.33 C
I (312295) mpu6050 stream: AX:-0.147 AY:0.AX:-0.143 AY:0.099 AZ:-0.943 | GX:-0.779 GY:-0.718 GZ:0.916 | T:25.33 C
I (312545) mpu6050 stream: AX:-0.151 AY:0.104 AZ:-0.952 | GX:-0.992 GY:-0.534 GZ:0.611 | T:25.24 C
