I (458895) mpu6050 stream: AX:-0.088 AY:0.083 AZ:-0.948 | GX:0.519 GY:-0.550 GZ:1.481 | T:25.09 C
I (458905) mpu6050 stream: AX:-0.086 AY:0.074 AZ:-0.949 | GX:0.962 GY:-0.626 GZ:1.435 | T:25.19 C
I (458915) mpu6050 stream: AX:-0.090 AY:0.073 AZ:-0.947 | GX:0.870 GY:-1.191 GZ:1.252 | T:25.19 C
I (458925) mpu6050 stream: AX:-0.091 AY:0.074 AZ:-0.956 | GX:0.153 GY:-1.145 GZ:1.145 | T:25.19 C
I (458935) mpu6050 stream: AX:-0.084 AY:0.077 AZ:-0.957 | GX:-0.947 GY:-0.931 GZ:1.053 | T:25.19 C
I (458945) mpu6050 stream: AX:-0.094 AY:0.076 AZ:-0.951 | GX:-1.206 GY:-0.855 GZ:0.824 | T:25.19 C
I (458955) mpu6050 stream: AX:-0.087 AY:0.076 AZ:-0.954 | GX:-1.023 GY:-0.870 GZ:0.443 | T:25.19 C
I (458965) mpu6050 stream: AX:-0.094 AY:0.079 AZ:-0.955 | GX:-0.366 GY:-1.145 GZ:0.412 | T:25.09 C
I (458975) mpu6050 stream: AX:-0.087 AY:0.085 AZ:-0.955 | GX:0.153 GY:-0.763 GZ:0.550 | T:25.09 C
I (458985) mpu6050 stream: AX:-0.090 AY:0.083 AZ:-0.960 | GX:0.901 GY:-0.779 GZ:0.626 | T:25.19 C
I (458995) mpu6050 stream: AX:-0.099 AY:0.079 AZ:-0.970 | GX:0.580 GY:-0.519 GZ:0.870 | T:25.19 C
