I (208295) mpu6050 stream: AX:-0.159 AY:0.102 AZ:-0.942 | GX:-0.397 GY:0.076 GZ:0.779 | T:25.19 C
I (208305) mpu6050 stream: AX:-0.160 AY:0.108 AZ:-0.930 | GX:-0.443 GY:-0.260 GZ:0.885 | T:25.28 C
I (208315) mpu6050 stream: AX:-0.163 AY:0.108 AZ:-0.948 | GX:0.015 GY:-0.382 GZ:1.038 | T:25.19 C
I (208325) mpu6050 stream: AX:-0.156 AY:0.111 AZ:-0.936 | GX:0.534 GY:-0.183 GZ:1.344 | T:25.19 C
I (208335) mpu6050 stream: AX:-0.165 AY:0.116 AZ:-0.950 | GX:0.779 GY:-0.214 GZ:1.557 | T:25.28 C
I (208345) mpu6050 stream: AX:-0.168 AY:0.109 AZ:-0.952 | GX:1.069 GY:-0.214 GZ:1.893 | T:25.28 C
I (208355) mpu6050 stream: AX:-0.160 AY:0.105 AZ:-0.948 | GX:1.160 GY:-0.076 GZ:2.198 | T:25.19 C
I (208365) mpu6050 stream: AX:-0.165 AY:0.111 AZ:-0.947 | GX:0.901 GY:0.229 GZ:2.290 | T:25.19 C
I (208375) mpu6050 stream: AX:-0.153 AY:0.103 AZ:-0.938 | GX:0.794 GY:0.321 GZ:2.550 | T:25.28 C
I (208385) mpu6050 stream: AX:-0.153 AY:0.100 AZ:-0.936 | GX:0.840 GY:0.076 GZ:2.534 | T:25.19 C
I (208395) mpu6050 stream: AX:-0.164 AY:0.095 AZ:-0.942 | GX:0.733 GY:0.122 GZ:2.412 | T:25.28 C
I (208405) mpu6050 stream: AX:-0.162 AY:0.094 AZ:-0.944 | GX:0.672 GY:-0.168 GZ:2.397 | T:25.28 C
