I (396055) mpu6050 stream: AX:-0.110 AY:0.092 AZ:-0.948 | GX:0.031 GY:0.916 GZ:1.221 | T:25.19 C
I (396065) mpu6050 stream: AX:-0.111 AY:0.100 AZ:-0.943 | GX:-0.122 GY:0.794 GZ:1.115 | T:25.19 C
I (396075) mpu6050 stream: AX:-0.111 AY:0.098 AZ:-0.945 | GX:-0.550 GY:0.702 GZ:0.992 | T:25.19 C
I (396085) mpu6050 stream: AX:-0.118 AY:0.099 AZ:-0.950 | GX:-0.626 GY:0.427 GZ:0.672 | T:25.19 C
I (396095) mpu6050 stream: AX:-0.116 AY:0.105 AZ:-0.940 | GX:-0.641 GY:0.336 GZ:0.718 | T:25.19 C
I (396105) mpu6050 stream: AX:-0.108 AY:0.102 AZ:-0.942 | GX:-0.366 GY:0.260 GZ:0.595 | T:25.19 C
I (396115) mpu6050 stream: AX:-0.112 AY:0.103 AZ:-0.950 | GX:-0.473 GY:0.137 GZ:0.641 | T:25.19 C
I (396125) mpu6050 stream: AX:-0.115 AY:0.102 AZ:-0.948 | GX:-0.397 GY:0.534 GZ:0.519 | T:25.19 C
I (396135) mpu6050 stream: AX:-0.119 AY:0.104 AZ:-0.950 | GX:-0.351 GY:-0.092 GZ:0.534 | T:25.19 C
I (396145) mpu6050 stream: AX:-0.120 AY:0.101 AZ:-0.954 | GX:-0.412 GY:0.229 GZ:0.534 | T:25.09 C
I (396155) mpu6050 stream: AX:-0.109 AY:0.105 AZ:-0.947 | GX:-0.168 GY:0.046 GZ:0.718 | T:25.09 C
I (396165) mpu6050 stream: AX:-0.116 AY:0.108 AZ:-0.945 | GX:-0.260 GY:-0.397 GZ:0.733 | T:25.19 C
I (396175) mpu6050 stream: AX:-0.123 AY:0.105 AZ:-0.953 | GX:-0.229 GY:-0.229 GZ:0.763 | T:25.28 C
I (396185) mpu6050 stream: AX:-0.122 AY:0.100 AZ:-0.946 | GX:-0.214 GY:-0.321 GZ:1.038 | T:25.09 C
I (396195) mpu6050 stream: AX:-0.115 AY:0.105 AZ:-0.955 | GX:-0.031 GY:0.000 GZ:0.870 | T:25.19 C
I (396205) mpu6050 stream: AX:-0.128 AY:0.097 AZ:-0.949 | GX:0.107 GY:0.015 GZ:1.023 | T:25.19 C
I (396215) mpu6050 stream: AX:-0.120 AY:0.104 AZ:-0.946 | GX:0.366 GY:0.229 GZ:1.191 | T:25.19 C
I (396225) mpu6050 stream: AX:-0.119 AY:0.108 AZ:-0.958 | GX:0.244 GY:0.260 GZ:1.145 | T:25.19 C
I (396235) mpu6050 stream: AX:-0.115 AY:0.099 AZ:-0.942 | GX:0.427 GY:0.305 GZ:0.977 | T:25.19 C
I (396245) mpu6050 stream: AX:-0.124 AY:0.101 AZ:-0.943 | GX:0.168 GY:0.275 GZ:1.298 | T:25.19 C
I (396255) mpu6050 stream: AX:-0.115 AY:0.095 AZ:-0.949 | GX:0.122 GY:0.504 GZ:1.313 | T:25.19 C
I (396265) mpu6050 stream: AX:-0.119 AY:0.101 AZ:-0.945 | GX:-0.061 GY:0.076 GZ:1.267 | T:25.09 C
I (396275) mpu6050 stream: AX:-0.113 AY:0.098 AZ:-0.948 | GX:-0.183 GY:0.092 GZ:1.267 | T:25.19 C
I (396285) mpu6050 stream: AX:-0.113 AY:0.099 AZ:-0.954 | GX:-0.122 GY:-0.015 GZ:1.420 | T:25.19 C
I (396295) mpu6050 stream: AX:-0.115 AY:0.102 AZ:-0.940 | GX:-0.015 GY:-0.076 GZ:1.282 | T:25.19 C
I (396305) mpu6050 stream: AX:-0.109 AY:0.098 AZ:-0.952 | GX:0.092 GY:-0.275 GZ:1.267 | T:25.19 C
I (396315) mpu6050 stream: AX:-0.110 AY:0.099 AZ:-0.952 | GX:0.305 GY:-0.198 GZ:1.053 | T:25.19 C
I (396325) mpu6050 stream: AX:-0.115 AY:0.094 AZ:-0.950 | GX:0.214 GY:-0.061 GZ:0.947 | T:25.19 C
I (396335) mpu6050 stream: AX:-0.115 AY:0.099 AZ:-0.959 | GX:-0.321 GY:-0.229 GZ:0.779 | T:25.19 C
I (396345) mpu6050 stream: AX:-0.114 AY:0.100 AZ:-0.950 | GX:-0.779 GY:-0.107 GZ:0.794 | T:25.19 C
I (396355) mpu6050 stream: AX:-0.116 AY:0.108 AZ:-0.953 | GX:-0.626 GY:-0.229 GZ:0.580 | T:25.09 C
I (396365) mpu6050 stream: AX:-0.113 AY:0.108 AZ:-0.949 | GX:0.458 GY:-0.473 GZ:0.626 | T:25.28 C
I (396375) mpu6050 stream: AX:-0.114 AY:0.109 AZ:-0.948 | GX:1.832 GY:-1.099 GZ:0.656 | T:25.19 C
I (396385) mpu6050 stream: AX:-0.122 AY:0.102 AZ:-0.941 | GX:2.458 GY:-1.176 GZ:0.931 | T:25.19 C
I (396395) mpu6050 stream: AX:-0.120 AY:0.096 AZ:-0.948 | GX:1.985 GY:-1.191 GZ:1.145 | T:25.19 C
I (396405) mpu6050 stream: AX:-0.118 AY:0.092 AZ:-0.952 | GX:0.626 GY:-1.176 GZ:1.160 | T:25.19 C
I (396415) mpu6050 stream: AX:-0.127 AY:0.098 AZ:-0.953 | GX:-0.748 GY:-1.313 GZ:1.542 | T:25.19 C
I (396425) mpu6050 stream: AX:-0.123 AY:0.097 AZ:-0.941 | GX:-1.542 GY:-1.389 GZ:1.420 | T:25.19 C
I (396435) mpu6050 stream: AX:-0.122 AY:0.096 AZ:-0.953 | GX:-1.542 GY:-1.511 GZ:1.634 | T:25.19 C
I (396445) mpu6050 stream: AX:-0.120 AY:0.095 AZ:-0.950 | GX:-1.069 GY:-1.237 GZ:1.832 | T:25.09 C
I (396455) mpu6050 stream: AX:-0.126 AY:0.099 AZ:-0.951 | GX:-0.580 GY:-0.977 GZ:1.756 | T:25.28 C
I (396465) mpu6050 stream: AX:-0.122 AY:0.091 AZ:-0.947 | GX:-0.122 GY:-0.504 GZ:1.832 | T:25.19 C
I (396475) mpu6050 stream: AX:-0.123 AY:0.095 AZ:-0.939 | GX:0.031 GY:-0.T:25.14 C
I (396715) mpu6050 stream: AX:-0.122 AY:0.097 AZ:-0.950 | GX:1.450 GY:0.168 GZ:1.359 | T:25.24 C
I (396725) mpu6050 stream: AX:-0.117 AY:0.106 AZ:-0.951 | GX:1.252 GY:0.321 GZ:1.344 | T:25.24 C
