I (366025) mpu6050 stream: AX:-0.076 AY:0.079 AZ:-0.957 | GX:2.153 GY:-0.947 GZ:0.824 | T:25.24 C
I (366035) mpu6050 stream: AX:-0.085 AY:0.077 AZ:-0.954 | GX:2.092 GY:-0.962 GZ:0.931 | T:25.14 C
I (366045) mpu6050 stream: AX:-0.083 AY:0.071 AZ:-0.944 | GX:1.099 GY:-1.130 GZ:1.038 | T:25.24 C
I (366055) mpu6050 stream: AX:-0.081 AY:0.069 AZ:-0.957 | GX:0.122 GY:-1.282 GZ:0.840 | T:25.14 C
I (366065) mpu6050 stream: AX:-0.089 AY:0.070 AZ:-0.954 | GX:-0.672 GY:-1.191 GZ:0.779 | T:25.14 C
I (366075) mpu6050 stream: AX:-0.088 AY:0.070 AZ:-0.945 | GX:-0.824 GY:-1.634 GZ:0.809 | T:25.14 C
I (366085) mpu6050 stream: AX:-0.092 AY:0.074 AZ:-0.950 | GX:-0.763 GY:-1.313 GZ:0.901 | T:25.24 C
I (366095) mpu6050 stream: AX:-0.092 AY:0.082 AZ:-0.967 | GX:-0.305 GY:-1.405 GZ:1.053 | T:25.05 C
I (366105) mpu6050 stream: AX:-0.095 AY:0.071 AZ:-0.956 | GX:-0.214 GY:-1.389 GZ:1.069 | T:25.24 C
I (366115) mpu6050 stream: AX:-0.092 AY:0.080 AZ:-0.956 | GX:-0.244 GY:-1.298 GZ:0.931 | T:25.24 C
I (366125) mpu6050 stream: AX:-0.091 AY:0.073 AZ:-0.963 | GX:-0.489 GY:-1.374 GZ:0.779 | T:25.14 C
I (366135) mpu6050 stream: AX:-0.096 AY:0.075 AZ:-0.962 | GX:-0.947 GY:-1.099 GZ:0.489 | T:25.14 C
I (366145) mpu6050 stream: AX:-0.090 AY:0.080 AZ:-0.961 | GX:-1.176 GY:-0.855 GZ:0.305 | T:25.14 C
I (366155) mpu6050 stream: AX:-0.094 AY:0.078 AZ:-0.962 | GX:-1.221 GY:-0.519 GZ:0.244 | T:25.14 C
I (366165) mpu6050 stream: AX:-0.093 AY:0.077 AZ:-0.956 | GX:-1.053 GY:-0.580 GZ:-0.046 | T:25.14 C
I (366175) mpu6050 stream: AX:-0.097 AY:0.079 AZ:-0.947 | GX:-0.702 GY:-0.519 GZ:-0.229 | T:25.19 C
I (366185) mpu6050 stream: AX:-0.092 AY:0.090 AZ:-0.951 | GX:-0.412 GY:-0.489 GZ:-0.290 | T:25.19 C
I (366195) mpu6050 stream: AX:-0.085 AY:0.082 AZ:-0.955 | GX:-0.198 GY:-0.885 GZ:-0.275 | T:25.19 C
I (366205) mpu6050 stream: AX:-0.094 AY:0.091 AZ:-0.958 | GX:-0.443 GY:-0.397 GZ:-0.107 | T:25.09 C
I (366215) mpu6050 stream: AX:-0.092 AY:0.080 AZ:-0.962 | GX:-0.611 GY:-0.519 GZ:-0.214 | T:25.19 C
I (366225) mpu6050 stream: AX:-0.101 AY:0.080 AZ:-0.960 | GX:-0.626 GY:-0.153 GZ:-0.214 | T:25.19 C
I (366235) mpu6050 stream: AX:-0.092 AY:0.086 AZ:-0.954 | GX:-0.397 GY:-0.107 GZ:-0.015 | T:25.19 C
I (366245) mpu6050 stream: AX:-0.095 AY:0.090 AZ:-0.950 | GX:-0.076 GY:-0.198 GZ:0.000 | T:25.19 C
I (366255) mpu6050 stream: AX:-0.092 AY:0.092 AZ:-0.962 | GX:-0.015 GY:-0.275 GZ:0.229 | T:25.19 C
I (366265) mpu6050 stream: AX:-0.088 AY:0.086 AZ:-0.954 | GX:0.244 GY:-0.244 GZ:0.473 | T:25.09 C
I (366275) mpu6050 stream: AX:-0.097 AY:0.083 AZ:-0.957 | GX:0.183 GY:-0.092 GZ:0.611 | T:25.09 C
I (366285) mpu6050 stream: AX:-0.094 AY:0.075 AZ:-0.968 | GX:-0.046 GY:0.061 GZ:0.595 | T:25.09 C
I (366295) mpu6050 stream: AX:-0.089 AY:0.083 AZ:-0.954 | GX:-0.290 GY:0.382 GZ:0.550 | T:25.09 C
I (366305) mpu6050 stream: AX:-0.090 AY:0.078 AZ:-0.954 | GX:-0.290 GY:0.672 GZ:0.611 | T:25.19 C
I (366315) mpu6050 stream: AX:-0.089 AY:0.086 AZ:-0.956 | GX:-0.229 GY:0.458 GZ:0.733 | T:25.09 C
I (366325) mpu6050 stream: AX:-0.091 AY:0.087 AZ:-0.950 | GX:-0.031 GY:0.229 GZ:0.763 | T:25.28 C
I (366335) mpu6050 stream: AX:-0.087 AY:0.085 AZ:-0.958 | GX:0.229 GY:0.168 GZ:0.840 | T:25.09 C
I (366345) mpu6050 stream: AX:-0.092 AY:0.090 AZ:-0.960 | GX:0.519 GY:0.229 GZ:1.023 | T:25.28 C
I (366355) mpu6050 stream: AX:-0.090 AY:0.086 AZ:-0.955 | GX:0.855 GY:0.366 GZ:1.298 | T:25.19 C
I (366365) mpu6050 stream: AX:-0.083 AY:0.083 AZ:-0.956 | GX:1.191 GY:0.015 GZ:1.084 | T:25.19 C
I (366375) mpu6050 stream: AX:-0.094 AY:0.087 AZ:-0.953 | GX:1.191 GY:-0.305 GZ:1.359 | T:25.19 C
I (366385) mpu6050 stream: AX:-0.086 AY:0.083 AZ:-0.962 | GX:1.069 GY:-0.321 GZ:1.374 | T:25.19 C
I (366395) mpu6050 stream: AX:-0.086 AY:0.084 AZ:-0.961 | GX:0.656 GY:-0.061 GZ:1.542 | T:25.19 C
I (366405) mpu6050 stream: AX:-0.091 AY:0.080 AZ:-0.957 | GX:0.626 GY:-0.290 GZ:1.771 | T:25.19 C
I (366415) mpu6050 stream: AX:-0.094 AY:0.073 AZ:-0.966 | GX:0.473 GY:-0.275 GZ:1.634 | T:25.061 GZ:0.763 | T:25.19 C
I (366675) mpu6050 stream: AX:-0.086 AY:0.087 AZ:-0.952 | GX:0.015 GY:-0.031 GZ:0.763 | T:25.09 C
I (366685) mpu6050 stream: AX:-0.080 AY:0.078 AZ:-0.957 | GX:0.107 GY:0.061 GZ:0.779 | T:25.19 C
I (366695) mpu6050 stream: AX:-0.092 AY:0.077 AZ:-0.954 | GX:-0.092 GY:0.214 GZ:0.962 | T:25.09 C
I (366705) mpu6050 stream: AX:-0.092 AY:0.078 AZ:-0.959 | GX:-0.031 GY:0.122 GZ:0.870 | T:25.19 C
