I (304055) mpu6050 stream: AX:-0.163 AY:0.088 AZ:-0.946 | GX:-0.336 GY:-0.489 GZ:1.282 | T:25.24 C
I (304065) mpu6050 stream: AX:-0.159 AY:0.090 AZ:-0.947 | GX:-0.733 GY:-0.779 GZ:1.160 | T:25.24 C
I (304075) mpu6050 stream: AX:-0.168 AY:0.090 AZ:-0.947 | GX:-0.916 GY:-0.504 GZ:1.130 | T:25.24 C
I (304085) mpu6050 stream: AX:-0.174 AY:0.093 AZ:-0.952 | GX:-0.855 GY:-0.321 GZ:1.115 | T:25.24 C
I (304095) mpu6050 stream: AX:-0.170 AY:0.090 AZ:-0.953 | GX:-0.412 GY:-0.031 GZ:1.176 | T:25.24 C
I (304105) mpu6050 stream: AX:-0.174 AY:0.086 AZ:-0.957 | GX:-0.183 GY:-0.122 GZ:1.344 | T:25.24 C
I (304115) mpu6050 stream: AX:-0.168 AY:0.087 AZ:-0.948 | GX:-0.244 GY:0.443 GZ:1.282 | T:25.14 C
I (304125) mpu6050 stream: AX:-0.168 AY:0.088 AZ:-0.936 | GX:-0.504 GY:0.687 GZ:1.252 | T:25.24 C
I (304135) mpu6050 stream: AX:-0.164 AY:0.085 AZ:-0.942 | GX:-0.779 GY:0.702 GZ:1.328 | T:25.24 C
I (304145) mpu6050 stream: AX:-0.170 AY:0.092 AZ:-0.935 | GX:-1.069 GY:0.733 GZ:1.374 | T:25.14 C
I (304155) mpu6050 stream: AX:-0.162 AY:0.089 AZ:-0.940 | GX:-0.931 GY:0.229 GZ:1.420 | T:25.24 C
I (304165) mpu6050 stream: AX:-0.162 AY:0.092 AZ:-0.941 | GX:-0.840 GY:-0.290 GZ:1.496 | T:25.33 C
I (304175) mpu6050 stream: AX:-0.165 AY:0.088 AZ:-0.942 | GX:-0.824 GY:0.046 GZ:1.481 | T:25.24 C
I (304185) mpu6050 stream: AX:-0.170 AY:0.083 AZ:-0.944 | GX:-1.084 GY:0.489 GZ:1.374 | T:25.24 C
I (304195) mpu6050 stream: AX:-0.162 AY:0.090 AZ:-0.947 | GX:-1.115 GY:0.321 GZ:0.931 | T:25.24 C
I (304205) mpu6050 stream: AX:-0.161 AY:0.090 AZ:-0.945 | GX:-1.115 GY:-0.046 GZ:0.901 | T:25.24 C
I (304215) mpu6050 stream: AX:-0.164 AY:0.091 AZ:-0.944 | GX:-1.313 GY:-0.092 GZ:0.733 | T:25.14 C
I (304225) mpu6050 stream: AX:-0.167 AY:0.092 AZ:-0.952 | GX:-1.496 GY:-0.198 GZ:0.504 | T:25.24 C
I (304235) mpu6050 stream: AX:-0.163 AY:0.101 AZ:-0.950 | GX:-1.481 GY:-0.015 GZ:0.321 | T:25.24 C
I (304245) mpu6050 stream: AX:-0.162 AY:0.094 AZ:-0.953 | GX:-1.405 GY:0.198 GZ:0.366 | T:25.24 C
I (304255) mpu6050 stream: AX:-0.169 AY:0.106 AZ:-0.945 | GX:-0.763 GY:0.321 GZ:0.183 | T:25.33 C
I (304265) mpu6050 stream: AX:-0.167 AY:0.103 AZ:-0.930 | GX:-0.198 GY:0.306515) mpu6050 stream: AX:-0.160 AY:0.090 AZ:-0.944 | GX:0.336 GY:0.534 GZ:1.527 | T:25.33 C
I (306525) mpu6050 stream: AX:-0.163 AY:0.083 AZ:-0.932 | GX:-0.183 GY:0.305 GZ:1.466 | T:25.28 C
I (306535) mpu6050 stream: AX:-0.163 AY:0.095 AZ:-0.930 | GX:-0.489 GY:0.275 GZ:1.527 | T:25.33 C
I (306545) mpu6050 stream: AX:-0.164 AY:0.090 AZ:-0.938 | GX:-0.702 GY:-0.168 GZ:1.374 | T:25.33 C
I (306555) mpu6050 stream: AX:-0.168 AY:0.089 AZ:-0.944 | GX:-0.595 GY:-0.198 GZ:1.206 | T:25.33 C
I (306565) mpu6050 stream: AX:-0.169 AY:0.092 AZ:-0.937 | GX:-0.351 GY:-0.366 GZ:1.206 | T:25.24 C
